Mes,Ajustado
2024-01,802577658
2025-01,401895588
2024-02,515137086
2025-02,277251839
2024-03,682872888
2024-04,367877044
2024-05,633609669
2024-06,274805653
2024-07,414041972
2024-08,369909627
2024-09,420165049
2024-10,455187626
2024-11,311361934
2024-12,404641042
