Metric,Value
Mes actual,$140.284.174
Mes anterior,$621.033.654
Mismo periodo mes anterior,$176.403.850
Prom. mensual ajustado,$594.549.313
Venta total clientes nuevos,$50.157.451
Saldo total,$673.315.064
