Cliente,Mes anterior,Mes actual,%
Taeda Sa,$0,$0,"0,0"
Tmcp S.A.S.,"$2,977,941",$0,"0,0"
Quimica Del Norte S ...,"$644,337",$0,"0,0"
Yamaha Motor Argenti...,"$10,001,521",$0,"0,0"
Pachamama Products S...,$0,$0,"0,0"
Coffee Hunters Sa,"$371,729",$0,"0,0"
Faraday S A I C F,"$1,733,940",$0,"0,0"
Famacon S.A.,"$798,901",$0,"0,0"
Ekitah S.R.L.,"$306,640",$0,"0,0"
Dautec Argentina Sas,"$25,160,011",$0,"0,0"
Cri Fa Autopartes,"$1,225,650",$0,"0,0"
Conextube Sa,"$626,550",$0,"0,0"
C Y M Shipbroker Arg...,"$-1,378,080",$0,"0,0"
Npg Internacional S....,"$2,991,600",$0,"0,0"
Beauty Solutions S.A...,"$3,906,100",$0,"0,0"
Bambu Saludable Srl,"$1,595,420",$0,"0,0"
Andritz Fabrics And ...,"$1,312,735",$0,"0,0"
American Transport S...,"$2,264,802",$0,"0,0"
All Trade S.A.,"$3,261,083",$0,"0,0"
Aceros Fb S.R.L.,"$2,221,438",$0,"0,0"
Fedtex S.R.L,"$109,556",$0,"0,0"
Flores Matias,"$1,702,361",$0,"0,0"
Geo Logistics Argent...,"$2,017,699",$0,"0,0"
Geo-Trade Comercio E...,"$3,234,979",$0,"0,0"
Nip Cargo Srl,"$1,023,400",$0,"0,0"
Naturaleza Group Srl,"$14,246,700",$0,"0,0"
Moldes Pan Srl,"$193,585",$0,"0,0"
Mma Tex S.A.,"$10,971,700",$0,"0,0"
Leanval S.A.,"$10,507,402",$0,"0,0"
La Platense Sa,"$790,685",$0,"0,0"
La Casa De Los Termi...,"$578,256",$0,"0,0"
Kapselmaker S.A.,"$377,273",$0,"0,0"
Juliana Sa,"$-900,600",$0,"0,0"
Jakytextil S.A.,"$2,807,225",$0,"0,0"
Inter American Cargo...,"$599,100",$0,"0,0"
Hra Consultora,"$5,110,744",$0,"0,0"
Glamtex S.A.,"$3,321,660",$0,"0,0"
Manufactura Los Ande...,"$17,293,782","$-100,000","-0,0"
A&S Logistics S.A.,"$5,210,400","$-120,000","-0,0"
Aceros Zapla S.A.,"$4,180,028","$-219,112","-0,0"
Danisco Argentina Sa,"$3,805,339","$-1,503,439","-0,3"
