Mes,CNTs Expo 2025,CNTs Expo 2026,Dif
1,267.0,217,-50.0
2,323.0,0,0.0
3,255.0,0,0.0
4,241.0,0,0.0
5,300.0,0,0.0
6,318.0,0,0.0
7,380.0,0,0.0
8,290.0,0,0.0
9,281.0,0,0.0
10,249.0,0,0.0
11,213.0,0,0.0
12,332.0,0,0.0
