Mes,CNTs Impo 2024,CNTs Impo 2025,Dif
1,151.0,162,11.0
2,84.0,192,108.0
3,89.0,184,95.0
4,69.0,119,50.0
5,77.0,158,81.0
6,52.0,146,94.0
7,109.0,0,0.0
8,121.0,0,0.0
9,172.0,0,0.0
10,149.0,0,0.0
11,120.0,0,0.0
12,142.0,0,0.0
