  id   |     name      |           permisoemb           | estado 
  6348 | TIIU-425162-6 | 25001EC01043438J               |    300
  6347 | FFAU-511349-2 | 25001EC01043438J               |    300
  6350 | TRHU-679121-1 | 25001EC01043438J               |    300
  6352 | EMCU-881222-4 | 25001EC01043438J               |    300
  6335 | MSKU-550418-6 | 25001EC03006890M               |    300
  6334 | TCKU-351675-3 | 25001EC03006890M               |    300
  6333 | MRKU-679394-4 | 25001EC03006890M               |    300
  6369 | MSKU-978948-8 | 25001EC01042747L               |    300
  6340 | MIEU-000482-2 | 25001EC01042332B               |    300
  6376 | MRKU-069733-1 | 25001PE01000240G               |    300
  6380 | EGHU-937297-4 | 25001EC01044503D               |    300
  6367 | HASU-497641-9 | 25001EC01042747L               |    300
  6390 | CIPU-509543-3 | 25001EC01042834X               |    300
  6392 | MRKU-371542-3 | 25001EC01042834X               |    300
  6391 | MRKU-295741-7 | 25001EC01042834X               |    300
  6339 | MRKU-204192-8 | 25001EC01042332B               |    300
  6314 | MRSU-494800-0 | 25001EC01041493X               |    300
  6387 | UETU-711607-8 | 25001EC01044271F               |    300
  6389 | FFAU-430773-9 | 25001EC01044271F               |    300
  6388 | TCNU-813852-1 | 25001EC01044271F               |    300
  6407 | TEMU-440449-6 | 25001PE01000241H               |    300
  6406 | HLXU-538058-5 | 25001ES03000067S               |    300
  6409 | MRKU-843119-0 | 25001PE01000236L               |    200
  6377 | CAIU-613952-5 | 25001EC01044067X               |    300
  6386 | SUDU-759540-3 | 25001EC01044788S               |    300
  6405 | MRKU-821650-9 | 25001EC03007101V               |    200
  6402 | TEMU-377713-4 | 25001EC03007101V               |    200
  6404 | MRKU-988317-3 | 25001EC03007101V               |    200
  6403 | MSKU-771908-0 | 25001EC03007101V               |    200
  6385 | TCKU-115296-6 | 25001EC01044788S               |    300
  6384 | TRHU-325725-0 | 25001EC01044788S               |    300
  6393 | TEMU-263908-5 | 25001EC01044788S               |    300
  6397 | HLBU-151792-3 | 25001EC03007191H               |    300
  6398 | UACU-837001-4 | 25001EC03007191H               |    300
  6399 | UACU-846858-8 | 25001EC03007191H               |    300
  6400 | HLXU-535255-7 | 25001EC03007191H               |    300
  6401 | TCLU-446365-5 | 25001EC03007191H               |    300
  6396 | TEMU-856890-2 | 25001EC01045095K               |    300
  6378 | NIDU-237073-0 | 25001EC01044492K               |    300
  6379 | HLXU-137723-8 | 25001EC01044492K               |    300
  6383 | CAAU-572205-2 | 25001EC01044503D               |    300
  6382 | TXGU-579117-6 | 25001EC01044503D               |    300
  6381 | EMCU-836652-3 | 25001EC01044503D               |    300
  6395 | JXLU-448788-0 | 25001EC01045093X               |    200
  6394 | MSKU-195090-8 | 25001EC01044428J               |    300
  6408 | HASU-149538-5 | 25001PE01000226K               |    300
  6416 | CAAU-563178-0 | 25001EC01045850J               |      0
  6410 | PONU-819721-0 | 25001EC01044174H               |    300
  6411 | MSKU-131958-0 | 25001EC01044174H               |    400
  6430 | SIMU-706409-8 | 25001EC03007244G               |      0
  6431 | ZHLU-201715-6 | 25001EC03007249L               |      0
  6432 | ZHLU-201717-7 | 25001EC03007269N               |      0
  6415 | MRKU-923006-0 | 25001EC01045222C               |    300
  6414 | SUDU-737056-2 | 25001EC01045222C               |    300
  6413 | MSKU-739579-9 | 25001EC01045222C               |    300
  6412 | MRKU-760008-4 | 25001EC01045222C               |    300
  6418 | HAMU-326023-8 | 25001EC01045552X               |    300
  6417 | HAMU-231644-0 | 25001EC01045552X               |    300
  6425 | MSKU-119413-8 | 25001EC01044983P               |    300
  6420 | MRKU-905553-8 | 25001EC01045559P               |    300
  6427 | TGHU-698278-8 | 25001EC01044075H               |    300
  6428 | CAIU-839717-5 | 25001EC01044075H               |    300
  6426 | MSMU-865229-6 | 25001EC01044075H               |    300
  6433 | TXGU-557160-7 | 25001EC01045549Y               |    200
  6435 | HLBU-179614-0 | 25001ES03000068T               |    300
  6434 | UACU-861363-9 | 25001ES03000068T               |    300
  6437 | UACU-845947-8 | 25001ES03000068T               |    300
  6439 | UACU-837294-8 | 25001ES03000068T               |    300
  6436 | TCLU-419484-9 | 25001ES03000068T               |    300
  6448 | TCLU-413313-9 | 25001ES03000068T               |    300
  6447 | TRLU-488893-6 | 25001ES03000068T               |    300
  6446 | TTNU-426342-5 | 25001ES03000068T               |    300
  6445 | UACU-838118-0 | 25001ES03000068T               |    300
  6444 | UACU-831511-0 | 25001ES03000068T               |    300
  6443 | HLBU-180397-4 | 25001ES03000068T               |    300
  6442 | HLBU-113425-1 | 25001ES03000068T               |    300
  6441 | TCLU-442228-1 | 25001ES03000068T               |    300
  6440 | UACU-836182-0 | 25001ES03000068T               |    300
  6438 | UACU-831169-1 | 25001ES03000068T               |    300
  6449 | ZCSU-691481-0 | 25001EC03007329K               |    300
  6450 | JXLU-644123-5 | 25001EC03007329K               |    300
  6451 | TCKU-616123-5 | 25001EC03007329K               |    300
  6452 | TCKU-675316-8 | 25001EC03007329K               |    300
  6422 | TCNU-430188-3 | 25001EC01042409G               |    300
  6421 | MRKU-640223-2 | 25001EC01042409G               |    300
  6424 | TCKU-767651-2 | 25001EC01042409G               |    300
  6419 | TCLU-271702-5 | 25001ES41000019R               |    300
  6429 | MSNU-605398-6 | 25001EC01044075H               |    300
  6455 | SUDU-734833-7 | 25001PE01000410Z               |    300
  6466 | HAMU-115276-4 | 25001EC01045963Y               |    200
  6456 | CAIU-668649-8 | 25001PE01000233X               |    300
  6478 | MRSU-008230-3 | 25001PE01000253K               |    300
  6468 | HLBU-324345-7 |                                |    300
  6477 | BEAU-217267-0 | 25001EC03007187M               |    300
  6479 | HLXU-825495-5 | 25001EC01046189P               |    300
  6467 | BMOU-562066-5 | 25001EC01045963Y               |    300
  6454 | HLXU-846139-8 | 25001EC01045474L               |    300
  6453 | TCLU-672748-5 | 25001EC01045474L               |    300
  6459 | MSMU-116741-0 | 25001EC01044938P               |    300
  6458 | MEDU-550260-0 | 25001EC01044938P               |    300
  6457 | MSMU-253440-2 | 25001EC01044938P               |    300
  6460 | MSMU-249408-5 | 25001EC01044938P               |    300
  6461 | CAIU-328807-9 | 25001EC01044938P               |    300
  6462 | MSNU-228300-2 | 25001EC01044938P               |    300
  6463 | MEDU-203413-1 | 25001EC01044938P               |    300
  6464 | MSMU-172265-8 | 25001EC01044938P               |    300
  6465 | MSMU-127248-4 | 25001EC01044938P               |    300
  6475 | FFAU-170436-8 | 25001EC03007275K               |    300
  6473 | TCNU-873169-2 | 25001EC03007275K               |    300
  6474 | CAAU-553591-4 | 25001EC03007275K               |    300
  6472 | MSMU-714104-9 | 25001EC03007275K               |    300
  6487 | MSNU-559704-9 | 25001EC01045850J               |    300
  6471 | TXGU-833584-2 | 25001EC01045689T               |    300
  6470 | EGHU-950134-6 | 25001EC01045689T               |    300
  6476 | MRKU-035718-3 | 25001EC03007243F               |    300
  6483 | MSDU-467698-7 | 25001EC01007291X               |    300
  6469 | UACU-544003-6 | 25001PE01000256N               |    300
  6423 | PONU-754037-2 | 25001EC01042409G               |    300
  6480 | TIIU-598069-0 | 25001EC01046464L               |    300
  6481 | HMMU-677158-2 | 25001EC01046464L               |    300
  6493 | FCIU-745501-7 | 25001EC01046364K               |    300
  6491 | HAMU-386286-8 | 25001EC01046364K               |    300
  6490 | HLBU-342123-0 | 25001EC01046364K               |    300
  6492 | HAMU-215146-4 | 25001EC01046364K               |    300
  6486 | CMAU-472903-7 | 25001EC03007436J               |    300
  6485 | ECMU-487172-2 | 25001EC03007436J               |    300
  6488 | CARU-945948-9 | 25001EC01046615J               |    300
  6489 | MRKU-523415-5 | 25001EC01046498S               |    300
  6494 | CMAU-611646-1 | 25001EC01046005C               |    300
  6495 | TCNU-355359-8 | 25001EC01046005C               |    300
  6496 | CMAU-596961-8 | 25001EC01046005C               |    300
  6497 | CMAU-696897-7 | 25001EC01046005C               |    300
  6482 | CAIU-480411-7 | 25001EC01045635K               |    300
  6484 | TCKU-635315-6 | 25001EC03007436J               |    300
  6510 | MSKU-559130-2 | 25001EC01046698U               |    200
  6537 | GVCU-225018-2 | 25001EC01047708N               |    300
  6536 | CAIU-208977-1 | 25001EC01047708N               |    300
  6499 | PCIU-154513-4 | 25001EC03007517J               |    300
  6506 | MSMU-595947-9 | 25001EC01047524J               |    300
