fecha,contenedor,estado,cliente,alerta_enviada
2024-12-30,ZCSU-748314-8,17:40 Arribado,Grupo Simpa Sa,
2025-01-02,DFSU-767821-0,15:40 Arribado,Lift Van Int. Co S.A,
2025-01-02,HASU-447214-6,15:40 Arribado,Fenisan S.A.,
2025-01-02,MRKU-463099-5,15:40 Arribado,Eagle Service Group Srl,
2025-01-06,FCIU-746561-1,16:00 Arribado,Moniport Cargo Sa,
2025-01-06,MSWU-007114-5,16:00 Arribado,Labranza Estrategica Sa,
2025-01-06,HMMU-203251-6,16:00 Arribado,20N S.R.L.,
2025-01-07,TEMU-584538-8,17:40 Arribado,Finest Global Sports,
2025-01-07,TGBU-251863-2,18:50 Arribado,Industrias Saladillo S.A.,
2025-01-08,EITU-127054-0,16:20 Arribado,Jupam Sa,
2025-01-08,EMCU-895294-6,16:20 Arribado,Jupam Sa,
2025-01-08,KOCU-434678-6,18:10 Arribado,Novelty Trend Srl,
2025-01-08,TCNU-390539-0,18:20 Arribado,Jupam Sa,
2025-01-08,EITU-918614-2,18:20 Arribado,Jupam Sa,
2025-01-09,ZCSU-711608-1,11:10 Arribado,Lift Van Int. Co S.A,
2025-01-09,TCLU-980615-0,17:10 Arribado,Dmc Import Group S.R.L.,
2025-01-10,TRLU-906570-9,11:40 Arribado,Espert S.A.,
2025-01-10,SUDU-683920-7,17:00 Arribado,Noah Servicess.R.L.,
2025-01-10,CAIU-333600-6,17:10 Arribado,Lift Van Int. Co S.A,
2025-01-10,PCIU-612131-3,18:50 Arribado,Trading Sud S.R.L.,
2025-01-13,SUDU-875402-7,15:21 Arribado,Planet Seguridad S.R.L.,
2025-01-13,HLXU-807229-3,15:21 Arribado,Talwin Transport Service Sa,
2025-01-13,ZIMU-297703-9,17:20 Arribado,Lift Van Int. Co S.A,
2025-01-13,ZCSU-767247-6,17:20 Arribado,Juguetech Sa,
2025-01-13,EMCU-866350-0,17:20 Arribado,Jupam Sa,
2025-01-13,EGSU-969548-2,17:20 Arribado,Jupam Sa,
2025-01-13,MSKU-870256-5,17:20 Arribado,Compañia Bulk S.A.,
2025-01-13,MRSU-622371-2,17:20 Arribado,Noah Servicess.R.L.,
2025-01-13,EISU-827267-0,17:30 Arribado,Poka S.A.,
2025-01-13,KOCU-428583-9,18:20 Arribado,Corona Insumos Srl,
2025-01-14,NYKU-486184-0,14:21 Arribado,Jupam Sa,
2025-01-14,MRSU-699011-8,14:21 Arribado,Leanval S.A.,
2025-01-14,ZCSU-877997-8,14:21 Arribado,Industrias Saladillo S.A.,
2025-01-14,MSNU-956125-5,14:21 Arribado,Telamania Srl,
2025-01-14,MSKU-109577-3,16:40 Arribado,Compañia Bulk S.A.,
2025-01-14,SUDU-871599-3,16:40 Arribado,Mac Donald Hermanos Srl,
2025-01-14,BEAU-528157-2,17:20 Arribado,Jupam Sa,
2025-01-14,CXDU-124253-0,17:20 Arribado,Jupam Sa,
2025-01-14,MSNU-531180-7,17:20 Arribado,Telamania Srl,
2025-01-14,GAOU-762985-0,17:40 Arribado,Blu Logistics Argentina S.A.,
2025-01-15,TCNU-649432-8,10:10 Arribado,Telamania Srl,
2025-01-15,TIIU-640414-9,14:50 Arribado,Industrias Saladillo S.A.,
2025-01-15,UACU-561834-4,14:50 Arribado,Telamania Srl,
2025-01-16,CAAU-799086-1,14:10 Arribado,Hyt Investments S.A.,
2025-01-17,MSKU-559804-0,10:20 Arribado,Mercovan Argentina Srl,
2025-01-17,MSKU-693073-5,10:30 Arribado,Transcargo Argentina Sa,
2025-01-17,HLBU-250585-0,18:00 Arribado,Compañia Bulk S.A.,
2025-01-17,HLBU-201158-6,18:00 Arribado,Compañia Bulk S.A.,
2025-01-17,BMOU-563126-9,18:20 Arribado,Compañia Bulk S.A.,
2025-01-17,CAIU-421446-6,18:30 Arribado,Telamania Srl,
2025-01-20,TEMU-750540-6,16:50 Arribado,Industrias Saladillo S.A.,
2025-01-20,MSBU-650966-2,16:50 Arribado,Telamania Srl,
2025-01-20,MEDU-736441-3,16:50 Arribado,Telamania Srl,
2025-01-20,MSBU-650454-7,16:50 Arribado,Telamania Srl,
2025-01-20,MSMU-823013-5,17:21 Arribado,Tmcp S.A.S.,
2025-01-20,MSMU-881608-6,17:21 Arribado,Tmcp S.A.S.,
2025-01-20,FFAU-195830-0,17:21 Arribado,Tmcp S.A.S.,
2025-01-20,MSDU-854178-4,17:21 Arribado,Telamania Srl,
2025-01-22,MSDU-455255-9,17:00 Arribado,Moniport Cargo Sa,
2025-01-22,HLBU-212513-0,17:00 Arribado,Mak. Plast S.R.L.,
2025-01-22,EITU-938025-0,18:10 Arribado,Dmc Import Group S.R.L.,
2025-01-23,MRKU-011555-4,14:00 Arribado,Mercovan Argentina Srl,
2025-01-23,EMCU-992356-2,14:00 Arribado,Jupam Sa,
2025-01-23,EITU-116326-4,14:00 Arribado,Jupam Sa,
2025-01-23,EGSU-964393-5,14:00 Arribado,Jupam Sa,
2025-01-24,MBIU-827765-6,17:10 Arribado,Grupo Rsm Srl,
2025-01-24,TCLU-821135-3,18:20 Arribado,Bisora Group Sa,
2025-01-24,HLBU-119184-2,18:40 Arribado,Edelweiss Spedition Srl,
2025-01-24,DFSU-128047-1,18:40 Arribado,Edelweiss Spedition Srl,
2025-01-24,UETU-412924-0,18:50 Arribado,Lift Van Int. Co S.A,
2025-01-27,MRKU-048569-3,16:50 Arribado,Dpmg S.A.,
2025-01-27,ZCSU-271931-2,16:50 Arribado,Sk Distributors S.R.L.,
2025-01-27,EGHU-971260-5,17:30 Arribado,Dmc Import Group S.R.L.,
2025-01-28,GCXU-522060-7,10:30 Arribado,Jupam Sa,
2025-01-28,TRHU-416263-1,10:30 Arribado,Luial Sa,
2025-01-28,MEDU-769279-4,15:50 Arribado,Hilansur S.A.,
2025-01-28,TCLU-624867-2,18:20 Arribado,Jupam Sa,
2025-01-29,TLLU-850302-9,17:20 Arribado,Jupam Sa,
2025-01-30,MAEU-422700-5,14:00 Arribado,Tecma Sa,
2025-01-30,MRSU-643093-6,14:00 Arribado,Tecma Sa,
2025-01-30,MSKU-628902-5,14:00 Arribado,Infilo S.R.L.,
2025-01-30,MRKU-055130-5,14:00 Arribado,Infilo S.R.L.,
2025-01-30,MRSU-445477-5,15:40 Arribado,Mercovan Argentina Srl,
2025-01-30,ECMU-480056-5,17:40 Arribado,Jupam Sa,
2025-01-31,MRSU-588801-4,09:20 Arribado,Grouport Srl,
2025-01-31,HLBU-102594-4,15:50 Arribado,Lift Van Int. Co S.A,
2025-01-31,MSMU-655947-7,15:50 Arribado,Nelo Sa,
2025-01-31,SUDU-886107-2,17:40 Arribado,Net Quality S.R.L.,
2025-01-31,MRSU-589364-3,17:40 Arribado,Awam Tex Srl,
2025-01-31,TCLU-156889-0,17:40 Arribado,La Nueva Textil De Lugano Srl,
2025-01-31,MRKU-255612-1,17:50 Arribado,Ionatex Srl,
2025-01-31,HLXU-534472-0,18:10 Arribado,Edelweiss Spedition Srl,
2025-01-31,KOCU-513324-0,18:20 Arribado,Malu Ma Tex S.A.,
2025-01-31,SEGU-637268-4,18:20 Arribado,Hyt Investments S.A.,
2025-02-03,TGHU-508048-0,18:30 Arribado,Gematec Srl,
2025-02-03,TCLU-424762-0,18:30 Arribado,Gematec Srl,
2025-02-06,FDCU-019534-5,19:30 Arribado,Grupo Leal-Tex S.R.L.,
2025-02-06,TCLU-909872-4,19:30 Arribado,Grapot Sa,
2025-02-06,MSDU-823737-0,19:30 Arribado,Candalar S.A.,
2025-02-06,FFAU-306584-1,19:30 Arribado,Jakytextil S.A.,
2025-02-06,MSNU-973308-2,19:30 Arribado,Ledorot S.A.,
2025-02-06,MSDU-578824-0,19:40 Arribado,Telamania Srl,
2025-02-06,KOCU-442027-1,20:10 Arribado,Poka S.A.,
2025-02-06,HMMU-676700-5,20:10 Arribado,Poka S.A.,
2025-02-06,HMMU-604929-2,20:10 Arribado,Poka S.A.,
2025-02-13,EGSU-124400-8,10:20 Arribado,Ba Comex S.A,
2025-02-13,TCLU-867855-9,10:20 Arribado,Ba Comex S.A,
2025-02-17,GCXU-583317-3,18:50 Arribado,Lift Van Int. Co S.A,
2025-02-18,FTAU-132589-1,16:30 Arribado,Mercovan Argentina Srl,
