idpesada,enviado
67252,1
67255,1
67256,1
67266,1
67264,1
67262,1
67261,1
67269,1
67267,1
67272,1
67274,1
67275,1
67276,1
67278,1
67281,1
67287,1
67286,1
67289,1
67291,1
67293,1
67295,1
67328,1
67327,1
67325,1
67324,1
67330,1
67332,1
67334,1
67336,1
67338,1
67346,1
67345,1
67347,1
67351,1
67350,1
67352,1
67355,1
67354,1
67356,1
67360,1
67363,1
67362,1
67366,1
67369,1
67373,1
67374,1
67376,1
67381,1
67383,1
67384,1
67387,1
67391,1
67390,1
67392,1
67397,1
67398,1
67401,1
67403,1
67408,1
67406,1
67407,1
67410,1
67413,1
67411,1
67414,1
67416,1
67415,1
67427,1
67425,1
67426,1
67423,1
67429,1
67430,1
67432,1
67434,1
67436,1
67435,1
67438,1
67442,1
67443,1
67448,1
67447,1
67455,1
67454,1
67458,1
67457,1
67464,1
67463,1
67467,1
67466,1
67470,1
67469,1
67473,1
67476,1
67475,1
67482,1
67483,1
67485,1
67484,1
67489,1
67490,1
67495,1
67498,1
67499,1
67501,1
67502,1
67505,1
67507,1
67509,1
67512,1
67511,1
67514,1
67515,1
67520,1
67521,1
67524,1
67526,1
67530,1
67531,1
67534,1
67536,1
67537,1
67539,1
67543,1
67545,1
67547,1
67548,1
67550,1
67556,1
67554,1
67552,1
67560,1
67558,1
67566,1
67564,1
67562,1
67570,1
67568,1
67574,1
67575,1
67579,1
67578,1
67581,1
67583,1
67588,1
67587,1
67590,1
67594,1
67593,1
67598,1
67597,1
67602,1
67604,1
67608,1
67609,1
67611,1
67610,1
67614,1
67616,1
67615,1
67617,1
67621,1
67625,1
67627,1
67629,1
67630,1
67631,1
67633,1
67635,1
67638,1
67640,1
67643,1
67644,1
67649,1
67648,1
67651,1
67653,1
67655,1
67660,1
67657,1
67662,1
67667,1
67664,1
67669,1
67668,1
67670,1
67674,1
67675,1
67676,1
67681,1
67680,1
67683,1
67685,1
67687,1
67689,1
67691,1
67698,1
67697,1
67701,1
67700,1
67704,1
67702,1
67706,1
67708,1
67710,1
67712,1
67714,1
67717,1
67718,1
67719,1
67720,1
67723,1
67725,1
67726,1
67732,1
67731,1
67734,1
67737,1
67738,1
67739,1
67744,1
67748,1
67750,1
67752,1
67753,1
67755,1
67756,1
67759,1
67763,1
67762,1
67770,1
67768,1
67767,1
67773,1
67772,1
67775,1
67779,1
67778,1
67782,1
67783,1
67787,1
67792,1
67790,1
67794,1
67795,1
67797,1
67796,1
67801,1
67799,1
67803,1
67808,1
67806,1
67812,1
67815,1
67814,1
67818,1
67819,1
67817,1
67824,1
67823,1
67826,1
67829,1
67831,1
67833,1
67834,1
67835,1
67838,1
67841,1
67840,1
67843,1
67845,1
67847,1
67851,1
67849,1
67853,1
67856,1
67858,1
67862,1
67863,1
67866,1
67869,1
67867,1
67872,1
67876,1
67877,1
67879,1
67882,1
67884,1
67886,1
67885,1
67888,1
67891,1
67896,1
67894,1
67898,1
67900,1
67902,1
67904,1
67905,1
67906,1
67910,1
67908,1
67913,1
67916,1
67919,1
67917,1
67924,1
67922,1
67921,1
67928,1
67927,1
67931,1
67935,1
67934,1
67937,1
67940,1
67938,1
67942,1
67944,1
67946,1
67948,1
67952,1
67950,1
67954,1
67958,1
67956,1
67964,1
67962,1
67960,1
67966,1
67971,1
67970,1
67973,1
67975,1
67979,1
67981,1
67984,1
67983,1
67988,1
67987,1
67990,1
67992,1
67993,1
67995,1
67997,1
68003,1
68002,1
68006,1
68005,1
68009,1
68012,1
68011,1
68014,1
68017,1
68019,1
68023,1
68022,1
68024,1
68028,1
68030,1
68032,1
68034,1
68040,1
68041,1
68043,1
68042,1
68045,1
68046,1
68051,1
68054,1
68053,1
68056,1
68059,1
68058,1
68065,1
68063,1
68067,1
68066,1
68072,1
68070,1
68073,1
68076,1
68081,1
68080,1
68079,1
68085,1
68089,1
68090,1
68094,1
68093,1
68098,1
68097,1
68096,1
68103,1
68101,1
68105,1
68108,1
68110,1
68112,1
68113,1
68116,1
68117,1
68119,1
68121,1
68126,1
68124,1
68127,1
68129,1
68131,1
68133,1
68138,1
68137,1
68140,1
68141,1
68144,1
68147,1
68145,1
68151,1
68149,1
68155,1
68153,1
68157,1
68159,1
68161,1
68163,1
68167,1
68165,1
68171,1
68169,1
68173,1
68175,1
68178,1
68180,1
68181,1
68186,1
68184,1
68188,1
68194,1
68191,1
68195,1
68199,1
68198,1
68200,1
68206,1
68209,1
68208,1
68211,1
68214,1
68217,1
68221,1
68223,1
68224,1
68225,1
68229,1
68227,1
68228,1
68231,1
68234,1
68236,1
68238,1
68240,1
68243,1
68242,1
68249,1
68248,1
68247,1
68251,1
68253,1
68255,1
68263,1
68264,1
68266,1
68270,1
68275,1
68273,1
68272,1
68278,1
68276,1
68280,1
68284,1
68288,1
68286,1
68291,1
68289,1
68292,1
68294,1
68295,1
68297,1
68302,1
68301,1
68307,1
68312,1
68311,1
68315,1
68316,1
68317,1
68319,1
68321,1
68323,1
68327,1
68325,1
68331,1
68329,1
68334,1
68335,1
68337,1
68339,1
