id,Dia,Cliente,Operacion,Booking,Contenedor,Volumen,Precinto,Observaciones,Estado,Hora,e-tally,fecha_registro,key,chofer,Fecha y Hora Fin,Observaciones trafico,Transporte
1370.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-08T15:50:41.391028,nan_BUE500197300,,,,
1428.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-08T23:05:39.789406,nan_BUE500197300,,,,
1485.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-09T06:05:42.615959,nan_BUE500197300,,,,
1543.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-09T13:20:41.443611,nan_BUE500197300,,,,
1600.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-09T20:35:39.655841,nan_BUE500197300,,,,
854.0,09/12,Pallets Nef De Raul ...,39972-0-1,  : 0                         ,TXGU-896052-0,0.0,********            ,TRP   13HS,18:58 Realizado,10:00,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=28017,2025-12-05T23:35:40.734365,TXGU-896052-0_  : 0                         ,,,,
1657.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-10T03:20:40.556866,nan_BUE500197300,,,,
1714.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-10T10:20:40.386985,nan_BUE500197300,,,,
1771.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-10T17:35:40.656411,nan_BUE500197300,,,,
1833.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-10T23:50:39.203155,nan_BUE500197300,,,,
1886.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-11T06:20:41.028575,nan_BUE500197300,,,,
1941.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-11T13:20:41.160521,nan_BUE500197300,,,,
1996.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-11T20:05:43.668941,nan_BUE500197300,,,,
2062.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-12T02:05:37.836287,nan_BUE500197300,,,,
2117.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-12T09:05:43.867974,nan_BUE500197300,,,,
2172.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-12T15:50:39.582686,nan_BUE500197300,,,,
2228.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-12T21:05:40.087073,nan_BUE500197300,,,,
2283.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-13T03:50:40.179161,nan_BUE500197300,,,,
2338.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-13T10:50:40.141302,nan_BUE500197300,,,,
2392.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-13T17:35:38.35223,nan_BUE500197300,,,,
2446.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-14T00:20:43.471485,nan_BUE500197300,,,,
2500.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-14T07:05:41.113489,nan_BUE500197300,,,,
2552.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-14T13:35:38.226896,nan_BUE500197300,,,,
2604.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-14T20:05:41.679367,nan_BUE500197300,,,,
2654.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-15T02:20:40.524676,nan_BUE500197300,,,,
2704.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-15T08:35:38.862325,nan_BUE500197300,,,,
2753.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-15T14:35:39.895995,nan_BUE500197300,,,,
2813.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-15T22:05:40.502881,nan_BUE500197300,,,,
2867.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-16T03:35:39.643994,nan_BUE500197300,,,,
2913.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-16T09:20:40.893591,nan_BUE500197300,,,,
2033.0,12/12,Inter American Cargo...,40102-0-1,  : 0                         ,CAIU-859912-9,0.0,***********         ,EXOLGAN  16HS,10:27 Realizado,10:00,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=28072,2025-12-11T23:35:39.901046,CAIU-859912-9_  : 0                         ,,,,
2979.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-16T17:20:41.372242,nan_BUE500197300,,,,
2992.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-16T18:50:41.378447,nan_BUE500197300,,,,
2999.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-16T19:35:41.886837,nan_BUE500197300,,,,
2814.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-15T22:20:40.667006,nan_BUE500197300,,,,
