Comprobante,Cliente,Vencimiento,Saldo,Dias
FCA 0003-00026733,Henn Y Cia S.R.L.,2025-08-11,"$3.619.836,00",13
FCA 0003-00026734,Henn Y Cia S.R.L.,2025-08-11,"$6.458.072,50",13
FCA 0003-00026735,Henn Y Cia S.R.L.,2025-08-11,"$1.706.826,00",13
FCA 0003-00026742,Henn Y Cia S.R.L.,2025-08-12,"$904.959,00",12
FCA 0003-00026775,Henn Y Cia S.R.L.,2025-08-13,"$904.959,00",11
FCA 0003-00026798,Henn Y Cia S.R.L.,2025-08-14,"$904.959,00",10
FCA 0003-00026847,Henn Y Cia S.R.L.,2025-08-20,"$3.298.399,50",4
FCA 0003-00026848,Henn Y Cia S.R.L.,2025-08-20,"$2.560.239,00",4
FCA 0003-00026869,Henn Y Cia S.R.L.,2025-08-22,"$3.619.836,00",2
