Company,Total Saldo,Total Neto,Total Importe
Comex,"$19.532.860,60","$104.927.930,00","$126.962.795,30"
Liftvan,"$278.577.545,24","$243.609.382,33","$294.618.782,60"
Mercovan,"$110.095.919,59","$85.133.111,66","$103.011.065,16"
Lawter,"$11.404.782,40","$78.990.870,00","$95.578.952,70"
RSM,"$0,00","$0,00","$0,00"
Simpa,"$20.410.876,99","$68.124.870,00","$82.431.092,70"
Global Rover,"$1.856.624,00","$9.683.036,53","$11.083.934,77"
Global Comex,"$0,00","$74.420.520,00","$90.048.829,20"
Henn,"$0,00","$0,00","$0,00"
